year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
2000,8,18.5,12.3,0.0,59.4,186.2,aberporth,52.139,4.57
2000,9,17.1,11.4,0.0,95.4,112.0,aberporth,52.139,4.57
2000,10,12.9,8.0,0.0,195.0,84.2,aberporth,52.139,4.57
2000,11,9.5,5.3,0.0,151.8,44.4,aberporth,52.139,4.57
2000,12,8.4,4.1,5.0,143.8,42.7,aberporth,52.139,4.57
2001,1,6.8,2.2,5.0,56.4,86.8,aberporth,52.139,4.57
2001,2,7.6,2.7,5.0,91.0,95.7,aberporth,52.139,4.57
2001,3,8.3,2.9,6.0,77.0,105.9,aberporth,52.139,4.57
2001,4,9.9,4.8,0.0,76.0,152.5,aberporth,52.139,4.57
2001,5,15.4,8.6,0.0,44.4,236.8,aberporth,52.139,4.57
2001,6,16.6,10.2,0.0,28.0,194.1,aberporth,52.139,4.57
2001,7,17.4,11.9,0.0,98.6,181.0,aberporth,52.139,4.57
2001,8,17.9,12.6,0.0,97.6,166.7,aberporth,52.139,4.57
2001,9,15.6,11.5,0.0,54.2,127.8,aberporth,52.139,4.57
2001,10,15.1,10.5,0.0,147.4,110.2,aberporth,52.139,4.57
2001,11,11.1,6.7,0.0,87.8,38.2,aberporth,52.139,4.57
2001,12,7.8,2.5,6.0,41.0,81.9,aberporth,52.139,4.57
2002,1,9.2,4.1,4.0,113.0,53.5,aberporth,52.139,4.57
2002,2,9.6,4.6,1.0,111.2,70.0,aberporth,52.139,4.57
2002,3,10.6,5.1,0.0,48.8,124.1,aberporth,52.139,4.57
2002,4,11.6,5.6,0.0,56.8,175.3,aberporth,52.139,4.57
2002,5,13.9,8.1,0.0,120.6,205.3,aberporth,52.139,4.57
2002,6,15.5,10.1,0.0,50.2,175.2,aberporth,52.139,4.57
2002,7,16.9,11.7,0.0,46.0,145.1,aberporth,52.139,4.57
2002,8,17.4,12.6,0.0,56.6,152.0,aberporth,52.139,4.57
2002,9,17.3,10.9,0.0,43.0,188.7,aberporth,52.139,4.57
2002,10,13.3,8.4,0.0,141.4,90.6,aberporth,52.139,4.57
2002,11,11.3,7.6,0.0,180.2,40.1,aberporth,52.139,4.57
2002,12,8.2,4.9,0.0,84.8,46.4,aberporth,52.139,4.57
2003,1,7.4,3.2,9.0,57.6,84.3,aberporth,52.139,4.57
2003,2,7.4,2.3,7.0,27.6,107.9,aberporth,52.139,4.57
2003,3,11.3,4.8,0.0,46.4,192.0,aberporth,52.139,4.57
2003,4,13.7,6.5,0.0,36.8,194.9,aberporth,52.139,4.57
2003,5,13.7,8.0,0.0,51.6,173.9,aberporth,52.139,4.57
2003,6,17.8,11.1,0.0,46.8,211.4,aberporth,52.139,4.57
2003,7,19.1,13.1,0.0,71.8,144.7,aberporth,52.139,4.57
2003,8,19.7,13.8,0.0,25.4,204.2,aberporth,52.139,4.57
2003,9,17.3,10.7,0.0,62.8,149.0,aberporth,52.139,4.57
2003,10,12.4,7.0,0.0,78.8,121.0,aberporth,52.139,4.57
2003,11,11.1,6.5,0.0,111.4,73.3,aberporth,52.139,4.57
2003,12,8.4,3.8,3.0,91.2,56.1,aberporth,52.139,4.57
2004,1,8.2,3.8,1.0,99.0,49.0,aberporth,52.139,4.57
2004,2,7.6,3.8,2.0,48.4,99.0,aberporth,52.139,4.57
2004,3,9.5,3.9,4.0,30.4,154.1,aberporth,52.139,4.57
2004,4,10.8,6.2,0.0,50.4,118.7,aberporth,52.139,4.57
